SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
FIS102,NX,FISICA II,CALDERON FLORES MODESTO FRANKLIN,Lun,07:00-09:15,Mie,07:00-09:15,Vie,10:00-11:30
FIS102,SA,FISICA II,ZEBALLOS PAREDES DANIEL LUIS,Lun,13:45-16:00,Mie,13:45-16:00,Vie,15:15-16:45
FIS102,SB,FISICA II,ZEBALLOS PAREDES DANIEL LUIS,Lun,13:45-15:15,Mie,13:45-15:15,Vie,13:45-15:15
FIS102,BI,FISICA II,ZEBALLOS PAREDES DANIEL LUIS,Lun,07:00-09:15,Mie,07:00-09:15,Vie,18:15-19:45
FIS102,R1,FISICA II,ROCHA ARGOTE FERNANDO,Lun,19:45-21:15,Mie,19:45-21:15,Vie,19:45-21:15
FIS200,SA,FISICA III,SEÑA AVENDAÑO EULOGIO,Lun,10:45-13:00,Mar,16:45-18:15,Mie,10:45-13:00
FIS200,SB,FISICA III,ARGOTE CLAROS IRMA ISABEL,Lun,11:30-13:45,Mie,11:30-13:45,,
FIS200,SC,FISICA III,SALVATIERRA MERCADO ROLANDO,Lun,15:15-16:45,Mie,15:15-16:45,Vie,15:15-16:45
RDS511,SA,GESTION Y ADMINISTRACION DE REDES,FLORES GARCIA CARLOS ISRAEL,Lun,18:15-19:45,Mie,18:15-19:45,Vie,18:15-19:45
ELC005,SA,INGENIERIA DE LA CALIDAD,CALLE TERRAZAS EDWIN,Sab,10:00-13:00,,,
INF422,SB,INGENIERIA DE SOFTWARE I,MARTINEZ CANEDO ROLANDO ANTONIO,Lun,15:15-16:45,Mie,15:15-16:45,Vie,15:15-16:45
INF422,SC,INGENIERIA DE SOFTWARE I,MARTINEZ CANEDO ROLANDO ANTΟΝΙΟ,Lun,16:00-18:15,Mie,16:00-18:15,,
INF512,SB,INGENIERIA DE SOFTWARE II,MARTINEZ CANEDO ROLANDO ANTONIO,Lun,18:15-20:30,Mie,18:15-20:30,,
LIN100,Z1,INGLES TECNICO I,CLAURE MEDRANO DE OROPEZA ELIZABETH,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
LIN100,Z2,INGLES TECNICO I,CLAURE MEDRANO DE OROPEZA ELIZABΕΤΗ,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
LIN100,25,INGLES TECNICO I,CLAURE MEDRANO DE OROPEZA ELIZΑΒΕΤΗ,Lun,13:45-16:00,Mie,13:45-16:00,,
LIN100,26,INGLES TECNICO I,CLAURE MEDRANO DE OROPEZA ELIZABΕΤΗ,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
LIN100,NW,INGLES TECNICO I,CABRERA TOLEDO LORENA BIBI,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
